total_clay,total_lead,time
2100,1372,5.15386899
2561,1103,4.681167154
3184,1395,5.44114688
2058,1379,5.011326948
2667,1273,5.852730952
2517,572,4.848314442
3554,1996,6.427327092
2165,1709,5.587489234
2106,1114,4.486092984
2600,1665,5.976889446
1268,818,4.230976759
3615,2042,6.531330323
3289,1226,5.700529995
1473,1434,5.081262834
2173,1382,5.226839549
2015,466,3.99402366
2869,1758,6.074668927
3399,1963,6.637041074
2106,1260,5.419073166
1927,1073,4.683331586
2674,1559,5.899299243
2362,820,4.236925382
1954,998,4.445682445
3265,1518,5.754321634
2031,795,4.95331425
2800,1475,5.113288933
1580,595,3.489379344
3283,2112,6.240714279
965,788,3.994510931
3106,1880,6.278940567
2285,1389,5.212378893
2630,1373,5.596770642
1099,710,3.506612105
2803,1433,5.406779001
2656,1236,6.053282292
3551,1755,6.702175376
2299,763,5.302506343
3230,1798,6.374735548
3991,2213,6.783156714
2855,610,4.59304235
3239,1947,6.196648568
2442,934,5.355928106
3544,1841,6.42688055
2085,1327,5.076335436
1978,1233,4.683420871
3252,1791,6.127077528
2779,1746,6.088394208
3270,1469,6.271988977
2831,1551,5.743136669
3163,1193,5.597705769
3865,2037,6.684539546
3352,1698,5.939994235
2298,1102,5.165242579
1572,1211,4.853972597
2460,1169,5.175862297
2945,1282,5.923361794
2442,1323,5.558722292
1436,1247,3.966193485
1574,668,4.08360297
2349,1253,5.287907037
1907,1295,5.177232999
3294,1787,5.796917771
2133,1200,5.10900007
2064,999,4.665607917
3085,1804,5.410904047
3250,1648,6.202204356
2778,1537,5.292526461
2435,1967,5.872347153
2884,1771,5.91708662
2667,1504,5.728882982
2009,959,5.04084226
2629,1401,5.569131682
3303,1976,5.792442375
2666,1499,6.154331857
2691,1594,5.981122896
2674,1538,5.438832009
1601,874,4.168904487
3244,1379,5.622440532
2984,1749,6.046735978
2405,1232,5.156824051
3156,1877,5.868336517
1474,1367,4.584116351
3127,1778,6.434496617
3375,1650,6.226920011
